alpha,l1_ratio,mean_c_index,std_c_index,fold_scores
3.0,0.7,0.7284946400840597,0.022788880376024088,"0.7013, 0.7523, 0.7063, 0.7259, 0.7566"
3.0,0.5,0.7277403574788573,0.02247119555988429,"0.7011, 0.7505, 0.7053, 0.7259, 0.7559"
1.5,0.7,0.7275422651133399,0.022377000559204913,"0.7009, 0.7494, 0.7057, 0.7253, 0.7565"
3.0,0.3,0.7272399656090436,0.022798712116197207,"0.6994, 0.7495, 0.7056, 0.7252, 0.7565"
1.5,0.5,0.727127670140712,0.022306576481965504,"0.7000, 0.7486, 0.7061, 0.7248, 0.7561"
0.8,0.7,0.7268495193496024,0.02194040523287149,"0.7001, 0.7474, 0.7063, 0.7245, 0.7559"
1.5,0.3,0.7265136072737324,0.022063361051380202,"0.6995, 0.7473, 0.7059, 0.7244, 0.7555"
3.0,0.1,0.7264501835995745,0.02244894758793842,"0.6982, 0.7482, 0.7061, 0.7246, 0.7552"
0.8,0.5,0.7263728685735743,0.021992778200298792,"0.6996, 0.7465, 0.7057, 0.7242, 0.7558"
3.0,0.0,0.7263012719599875,0.02241466489348049,"0.6982, 0.7475, 0.7057, 0.7248, 0.7554"
0.3,0.7,0.7262964062839737,0.02212103474941919,"0.6987, 0.7464, 0.7067, 0.7237, 0.7560"
1.5,0.1,0.7262194861425356,0.021871712695331003,"0.6993, 0.7461, 0.7059, 0.7244, 0.7554"
0.3,0.1,0.7261365858022526,0.022295924649450103,"0.6978, 0.7460, 0.7065, 0.7242, 0.7561"
0.3,0.0,0.7261209375962959,0.02229192325789465,"0.6978, 0.7460, 0.7066, 0.7240, 0.7562"
0.3,0.5,0.7261186191381985,0.022315993435919338,"0.6978, 0.7462, 0.7066, 0.7238, 0.7561"
0.8,0.1,0.7260830720959568,0.022114657080097137,"0.6983, 0.7458, 0.7065, 0.7238, 0.7560"
0.1,0.7,0.7260690838448542,0.02222875744990231,"0.6979, 0.7460, 0.7066, 0.7238, 0.7560"
1.5,0.0,0.7260625514707144,0.021752628007325223,"0.6989, 0.7455, 0.7063, 0.7243, 0.7554"
0.8,0.0,0.7260541942914249,0.022044538740896177,"0.6982, 0.7455, 0.7067, 0.7238, 0.7560"
0.3,0.3,0.7260291712953689,0.022217459338595178,"0.6977, 0.7460, 0.7067, 0.7239, 0.7559"
0.8,0.3,0.7259421155699878,0.02209770824872759,"0.6984, 0.7459, 0.7061, 0.7237, 0.7557"
0.1,0.5,0.7259164101495894,0.02220694349042544,"0.6975, 0.7455, 0.7068, 0.7238, 0.7560"
0.1,0.1,0.7259094506162604,0.022365772901795193,"0.6972, 0.7457, 0.7068, 0.7238, 0.7561"
0.1,0.0,0.7258925152598549,0.02235444579060048,"0.6973, 0.7455, 0.7067, 0.7238, 0.7562"
0.1,0.3,0.7258909792818806,0.022361774657234344,"0.6973, 0.7457, 0.7067, 0.7237, 0.7561"
