coef_index,coef_value
11,0.696715516512401
0,0.45928803692079884
23,-0.28817132972782344
27,0.14365282682175073
36,0.14220338202376767
20,0.1417837033633981
51,0.12998614800312197
24,0.1258624800295719
21,-0.09990297164004319
60,0.08811287155079808
10,0.08387752502706293
25,-0.08353733344316962
68,-0.08123962412858594
13,-0.08026466451521179
39,0.07874408056313678
37,-0.07659611964452138
15,0.07391020305297749
67,-0.07277512580710709
41,-0.06942090774083007
31,0.06928064668277753
4,-0.06395930745386723
38,0.06289040385877423
8,-0.06210705364962013
34,0.06052865292702443
58,0.06030394141225492
43,-0.05856658884147932
55,0.055672811727567266
64,0.05456905565605597
17,-0.05333356890193421
5,0.0523011235790808
54,0.05094227050439423
40,-0.0488816487109655
69,-0.04886128723913457
33,0.046930139328217706
46,0.046640887360549214
14,-0.044407098198264244
30,-0.04392317092856938
3,-0.04372854888590498
2,0.042950302339887975
1,-0.042950302339887975
61,-0.042373448184106495
62,-0.04194635908878116
65,-0.038393378571834016
45,0.028728804913692632
18,0.025597099314096657
50,-0.024404828757600625
63,-0.023722368925004775
7,0.02297741005565716
57,0.022152728024007747
56,0.02087284735191005
47,-0.018820590296574527
28,0.016767306878868477
42,-0.015827452258253764
44,0.012866967219827066
49,-0.012842664234840321
35,-0.01083109337440545
53,0.004059937304528488
66,0.0035462264073611227
6,0.002753048576187083
48,0.0021284173117046682
29,0.0013869798633347275
22,-0.001254931181174151
26,0.001160677686320036
19,-0.001116705800053384
32,0.0011150602420032887
9,0.00047053407720076644
52,-0.0004337394779567415
12,0.0003077619486930901
16,-0.00029285869606248766
59,0.0001425555528055766
